sa2_code,sa2_label,sa2_name_geo,state_name,gccsa_name,lat,lon,digital_jobs,digital_businesses,digital_job_share,digital_job_share_pct,digital_business_share,digital_business_share_pct,digital_income_weighted,digital_income_premium,jobs_per_digital_business,digital_solo_share,digital_solo_share_pct,digital_large_employer_share,digital_large_employer_share_pct,gender_income_gap,female_employment_share,ecosystem_category
104021088,Korora - Emerald Beach,Korora - Emerald Beach,New South Wales,Rest of NSW,-30.206094688525457,153.1408360767896,522.0,134.0,0.0662100456621004,6.62100456621004,0.1474147414741474,14.74147414741474,48160.66379310345,13152.408719536732,3.8955223880597014,0.5895522388059702,58.95522388059702,0.0223880597014925,2.23880597014925,14865.0,0.5103292446739832,lower digital concentration
104021089,Sawtell - Boambee,Sawtell - Boambee,New South Wales,Rest of NSW,-30.37610781510576,153.03711750966804,768.0,136.0,0.0530863344162576,5.3086334416257595,0.1075098814229249,10.75098814229249,39854.64453125,8176.754609358799,5.647058823529412,0.4485294117647059,44.85294117647059,0.0,0.0,9851.0,0.5017584994138335,lower digital concentration
104021091,Woolgoolga - Arrawarra,Woolgoolga - Arrawarra,New South Wales,Rest of NSW,-30.027690506269106,153.16691016504694,566.0,99.0,0.0483554036736437,4.83554036736437,0.0885509838998211,8.85509838998211,32898.675795053,7415.224406757399,5.717171717171717,0.5757575757575758,57.57575757575758,0.0303030303030303,3.03030303030303,7732.0,0.494687535702045,lower digital concentration
105021097,Broken Hill,Broken Hill,New South Wales,Rest of NSW,-31.94401689612144,141.47927526050978,597.0,49.0,0.0496176861702127,4.96176861702127,0.0524625267665952,5.24625267665952,11208.273869346736,-30321.861561171885,12.183673469387756,0.5306122448979592,53.06122448979592,0.0,0.0,18020.0,0.4872328767123288,lower digital concentration
105031101,Dubbo - South,Dubbo - South,New South Wales,Rest of NSW,-32.267131279262266,148.6285510523197,810.0,184.0,0.0455927051671732,4.55927051671732,0.0965879265091863,9.65879265091863,41702.21111111111,5800.845412585833,4.4021739130434785,0.4619565217391304,46.19565217391304,0.0,0.0,13457.0,0.5073366669399131,lower digital concentration
106011107,Branxton - Greta - Pokolbin,Branxton - Greta - Pokolbin,New South Wales,Rest of NSW,-32.70983471504231,151.32553072692627,699.0,121.0,0.059027191352812,5.9027191352812,0.100248550124275,10.0248550124275,46290.663805436336,1627.8264468820344,5.776859504132231,0.5702479338842975,57.02479338842975,0.0,0.0,37946.0,0.4812003736571695,lower digital concentration
106011108,Cessnock,Cessnock,New South Wales,Rest of NSW,-32.83194869365852,151.36208523322074,668.0,89.0,0.0397004635682871,3.9700463568287105,0.0914696813977389,9.14696813977389,39648.706586826345,5558.970761318204,7.50561797752809,0.5393258426966292,53.93258426966292,0.0337078651685393,3.3707865168539297,22960.0,0.492798353909465,lower digital concentration
106011111,Kurri Kurri - Abermain,Kurri Kurri - Abermain,New South Wales,Rest of NSW,-32.80066268335768,151.46112720498218,761.0,65.0,0.0447857815442561,4.47857815442561,0.0798525798525798,7.985257985257981,45310.22864651774,8668.542411819057,11.707692307692309,0.5692307692307692,56.92307692307692,0.0461538461538461,4.61538461538461,24093.5,0.4847921595133491,large-employer / job-heavy hub
106011112,Singleton,Singleton,New South Wales,Rest of NSW,-32.5752045823232,151.17727692406385,674.0,105.0,0.0475887876862246,4.75887876862246,0.0909878682842287,9.09878682842287,43121.94807121662,-5714.948984491915,6.419047619047619,0.4952380952380952,49.52380952380952,0.0380952380952381,3.8095238095238098,47336.0,0.4534964000394516,lower digital concentration
106021116,Maitland - North,Maitland - North,New South Wales,Rest of NSW,-32.67704389529709,151.5790308397943,540.0,88.0,0.0780459603989015,7.804596039890151,0.1466666666666666,14.66666666666666,53120.694444444445,7479.154915610801,6.136363636363637,0.4545454545454545,45.454545454545446,0.0,0.0,34102.0,0.5004737540269092,lower digital concentration
