sa2_code,sa2_label,digital_jobs,digital_businesses,digital_job_share,digital_business_share,digital_income_weighted,digital_income_premium,jobs_per_digital_business,digital_solo_share,digital_large_employer_share,male_median_income,female_median_income,gender_income_gap,female_employment_share,ecosystem_category
303031062,Mansfield (Qld),716.0,135.0,0.1015891032917139,0.1498335183129855,56647.52374301676,18336.374977409498,5.303703703703704,0.5481481481481482,0.0,69525.0,55067.0,14458.0,0.4906437125748503,digitally specialised
303031063,Mount Gravatt,1617.0,238.0,0.1149417116860961,0.1809885931558935,58887.62337662338,16907.493862833217,6.794117647058823,0.592436974789916,0.0168067226890756,76273.5,60399.0,15874.5,0.5086114624890532,emerging growth corridor
303031064,Rochedale - Burbank,1033.0,220.0,0.1157552666965486,0.1502732240437158,60948.03291384318,19250.995934909966,4.695454545454545,0.5727272727272728,0.0,73088.0,53943.5,19144.5,0.4990168539325842,emerging growth corridor
303031065,Upper Mount Gravatt,1073.0,216.0,0.1000652802387391,0.1483516483516483,44702.66728797763,14920.072585002716,4.967592592592593,0.4583333333333333,0.0185185185185185,59561.0,50125.0,9436.0,0.4976411915352473,emerging growth corridor
303031066,Wishart,946.0,137.0,0.1084489281210592,0.1585648148148148,56045.327695560256,17488.63320971823,6.905109489051095,0.5401459854014599,0.0218978102189781,68724.0,52765.0,15959.0,0.5083521444695259,digitally specialised
303041068,Moorooka,1196.0,147.0,0.1181351244567364,0.1578947368421052,62472.6856187291,19021.679198341903,8.136054421768707,0.6394557823129252,0.0,76319.0,65895.5,10423.5,0.498295841854124,emerging growth corridor
303041070,Salisbury - Nathan,694.0,127.0,0.097062937062937,0.1398678414096916,53706.359510086455,14982.90419540114,5.464566929133858,0.5511811023622047,0.0236220472440944,68746.0,59012.0,9734.0,0.4781591263650546,emerging growth corridor
303041071,Tarragindi,1230.0,189.0,0.1353582040277319,0.2130777903043968,71471.8569105691,21136.09538311229,6.507936507936508,0.5714285714285714,0.0,92552.5,66254.0,26298.5,0.5051352524229712,high-income specialist
303051072,Algester,585.0,63.0,0.0759148715286789,0.1064189189189189,50644.555555555555,16321.21796147302,9.285714285714286,0.6349206349206349,0.0,66177.5,50620.0,15557.5,0.4896870554765292,lower digital concentration
303051073,Calamvale - Stretton,1721.0,244.0,0.0933600954757513,0.0977955911823647,51553.39976757699,17743.764962325826,7.05327868852459,0.5409836065573771,0.0,61573.0,49606.0,11967.0,0.4963786303334528,lower digital concentration
